Level,Parent Part Number,Parent Description,Child Description,UOM,Node Type,Make/Buy,Work Center,Procurement Steps,Operations (Routing Embedded),Consumables,Qty,Child Part Number,Hierarchy Path,Revision,Effective Date,Inventory Status,Stock_Qty,Store_Location,Procurement Action,Approved_Supplier,Lead_Time_Days,timestamp,company_id
4,CHR-PCB-CMP-0001,Power PCB Bare Board,PCB Prepreg Layer,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Solder,1,CHR-PCB-MAT-0006,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-CMP-0001 > CHR-PCB-MAT-0006,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-CMP-0001,Power PCB Bare Board,PCB Silkscreen Ink,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Solder,1,CHR-PCB-MAT-0009,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-CMP-0001 > CHR-PCB-MAT-0009,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-CMP-0001,Power PCB Bare Board,PCB Solder Mask – Bottom,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Solder,1,CHR-PCB-MAT-0008,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-CMP-0001 > CHR-PCB-MAT-0008,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-CMP-0001,Power PCB Bare Board,PCB Solder Mask – Top,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Solder,1,CHR-PCB-MAT-0007,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-CMP-0001 > CHR-PCB-MAT-0007,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-ELE-0001,MOV Surge Suppressor,MOV Insulation Sleeve,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-GEN-MAT-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0001 > CHR-GEN-MAT-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-ELE-0008,Bridge Rectifier,Bridge Rectifier Heatslug,EA,Mechanical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-GEN-MEC-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0008 > CHR-GEN-MEC-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-ELE-0009,Primary Bulk Capacitor,Bulk Capacitor PVC Sleeve,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-GEN-MAT-0002,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0009 > CHR-GEN-MAT-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-ELE-0015,Primary Transformer,Transformer Bobbin,EA,Mechanical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-GEN-MEC-0002,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0015 > CHR-GEN-MEC-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-ELE-0015,Primary Transformer,Transformer Copper Windings,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-GEN-ELE-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0015 > CHR-GEN-ELE-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-ELE-0015,Primary Transformer,Transformer Core – Ferrite,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-GEN-ELE-0002,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0015 > CHR-GEN-ELE-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-ELE-0015,Primary Transformer,Transformer Insulation Tape,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-GEN-MAT-0003,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0015 > CHR-GEN-MAT-0003,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-ELE-0015,Primary Transformer,Transformer Potting Compound,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-GEN-MAT-0004,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0015 > CHR-GEN-MAT-0004,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-MEC-0001,Primary Aluminum Heatsink,Heatsink Anodization,EA,Process,Make,QA_STATION,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: Setup Equipment | 20: Execute Process/Test | 30: Log Results,Na,1,CHR-GEN-PRC-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-MEC-0001 > CHR-GEN-PRC-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-MEC-0001,Primary Aluminum Heatsink,Thermal Interface Pad – Primary,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-GEN-MAT-0005,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-MEC-0001 > CHR-GEN-MAT-0005,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-MEC-0002,Secondary Aluminum Heatsink,Thermal Interface Pad – Secondary,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-GEN-MAT-0006,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-MEC-0002 > CHR-GEN-MAT-0006,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
